minute,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,under_pressure,is_goal
53,93.7,39.9,26.300190113381305,0.2765469791977192,Right Foot,Open Play,False,0
61,99.7,28.8,23.18469322635087,0.2762581769972997,Right Foot,Open Play,False,0
65,105.5,44.9,15.305554547287725,0.447980176234568,Head,Open Play,True,0
68,94.8,50.0,27.111621124528874,0.25025747452960856,Left Foot,Free Kick,False,0
75,118.9,54.4,14.441952776546527,0.04123202872667875,Right Foot,Open Play,False,0
76,96.0,32.8,25.05673562138532,0.2784869143426013,Right Foot,Open Play,False,0
81,112.2,48.9,11.834272263219226,0.4235202968862266,Head,Open Play,True,0
81,110.2,32.4,12.401612798341995,0.47234869489042824,Head,Open Play,False,0
84,103.3,44.9,17.40402252354323,0.3995413175417096,Right Foot,Open Play,False,0
86,102.8,47.4,18.72431574183687,0.35734605160115407,Left Foot,Open Play,False,1
91,97.1,40.8,22.913969538253305,0.3165993927864819,Left Foot,Open Play,False,0
8,101.9,49.9,20.63055985667863,0.3109791517854093,Right Foot,Open Play,False,0
16,92.9,42.9,27.254724361108472,0.26553487157072647,Left Foot,Free Kick,False,1
20,109.1,31.1,14.07195793057953,0.40792285000554734,Left Foot,Open Play,False,0
21,114.2,33.4,8.786353054595518,0.5871311667801445,Head,Open Play,True,0
25,110.1,26.1,17.065169205138286,0.2551556644423042,Right Foot,Open Play,False,1
27,94.0,53.0,29.068883707497267,0.22498427161420992,Right Foot,Open Play,False,0
30,116.8,29.7,10.785638599545232,0.22375203733055193,Head,Open Play,False,0
31,115.9,49.5,10.346980235798267,0.3100843977180826,Head,Open Play,False,0
33,114.6,35.8,6.841052550594834,0.8691643722274203,Head,Open Play,False,0
35,112.1,37.1,8.415461959987704,0.78890002843634,Right Foot,Open Play,False,0
35,115.1,46.1,7.824321056807426,0.6434970940941317,Left Foot,Open Play,False,0
35,103.6,29.1,19.691876497683,0.3103041996949389,Left Foot,Open Play,False,0
36,112.0,38.9,8.075270893288968,0.8464378631084888,Head,Open Play,False,0
36,113.1,47.1,9.900505037623086,0.5380994674016644,Head,Open Play,False,0
40,113.0,43.0,7.615773105863909,0.8545209127072075,Head,Open Play,False,0
44,119.0,30.9,9.154780172128659,0.10358393951349787,Left Foot,Open Play,True,1
52,99.1,50.1,23.212496634356253,0.2833366314593592,Right Foot,Open Play,False,0
55,88.2,32.7,32.62713594540593,0.2179350174374567,Right Foot,Free Kick,False,0
57,107.3,29.8,16.28895331198417,0.353500769241608,Right Foot,Open Play,False,0
57,114.7,49.0,10.444615837837214,0.3851662386473673,Right Foot,Open Play,False,0
57,101.1,50.9,21.817882573705457,0.29058535073414216,Left Foot,Open Play,False,0
64,92.8,28.1,29.689223634174066,0.22546816591968893,Left Foot,Free Kick,False,1
66,86.1,51.0,35.640005611671846,0.19493477813185878,Left Foot,Open Play,False,0
67,115.1,35.1,6.929646455628169,0.8030379516618453,Right Foot,Open Play,False,0
68,110.4,27.2,15.999999999999998,0.2819407630774853,Right Foot,Open Play,False,0
68,112.7,41.3,7.414849964766647,0.9094842511887999,Head,Open Play,False,0
79,116.8,28.9,11.552056094046637,0.19269073835247008,Right Foot,Open Play,False,0
80,110.1,39.9,9.900505037623088,0.7081683187829199,Head,Open Play,False,0
84,99.1,50.1,23.212496634356253,0.2833366314593592,Right Foot,Open Play,False,0
90,106.5,36.9,13.851353724455961,0.5056977394295229,Right Foot,Open Play,False,0
90,102.1,32.1,19.565786465153916,0.3408393168608844,Right Foot,Open Play,True,0
94,111.1,51.8,14.780054127099808,0.30762501772860695,Right Foot,Open Play,False,0
4,109.2,55.2,18.646179233290663,0.2322265782273305,Right Foot,Open Play,True,0
9,109.6,35.5,11.331813623599716,0.5846951500017535,Head,Open Play,True,0
9,95.6,40.7,24.410038918445014,0.2975439142494385,Left Foot,Open Play,False,0
12,91.1,56.1,33.082019285406396,0.1932499955540284,Left Foot,Open Play,False,0
25,94.7,50.2,27.278746305503116,0.24821197490581942,Left Foot,Free Kick,False,0
27,93.6,56.4,31.079253530289307,0.200163099148289,Left Foot,Free Kick,False,0
32,112.1,33.1,10.489041900955495,0.5393028493486376,Left Foot,Open Play,False,0
32,107.3,26.5,18.534832073693035,0.2744786788639825,Left Foot,Open Play,False,0
32,100.0,33.8,20.93895890439637,0.33170820584760513,Left Foot,Open Play,False,0
34,109.7,40.9,10.339245620450264,0.6785926679286391,Right Foot,Open Play,False,1
37,114.2,25.6,15.52417469626002,0.18441476794611922,Right Foot,Open Play,False,0
37,112.5,37.6,7.874642849044012,0.8460456840221974,Head,Open Play,True,0
41,90.9,57.6,34.00838131990407,0.18422109386292101,Right Foot,Open Play,False,0
42,111.4,49.0,12.448293055676345,0.41842775216141526,Right Foot,Open Play,True,1
46,103.6,38.4,16.47786393923679,0.43532186846423426,Left Foot,Open Play,False,1
48,104.3,24.2,22.273975846265078,0.2337181622972846,Left Foot,Open Play,False,0
49,91.4,49.3,30.07407521437691,0.23076326707989794,Left Foot,Open Play,True,0
54,104.7,36.0,15.814234094637651,0.44195178277963537,Left Foot,Open Play,False,0
54,112.0,50.1,12.88448679614365,0.36638675998454606,Right Foot,Open Play,False,0
56,89.5,34.7,30.957067044537663,0.2320131362713801,Right Foot,Free Kick,False,0
59,115.3,37.7,5.232590180780453,1.1847196953565655,Left Foot,Open Play,False,1
65,115.8,31.3,9.660745312862772,0.367173833818219,Right Foot,Open Play,False,0
68,94.0,36.8,26.196182928052707,0.27565775064608905,Right Foot,Open Play,False,0
73,91.7,45.5,28.8294987816299,0.24810665237857815,Right Foot,Open Play,True,0
74,90.4,45.9,30.182279569310193,0.2368657214445255,Right Foot,Open Play,False,0
